won,lost,size,elapsed_time,last_move_random,agent
True,False,8,0.05180200000000035,False,neural
True,False,8,0.11868499999999926,False,neural
True,False,8,0.16482099999999988,False,neural
True,False,8,0.09169699999999992,False,neural
False,True,8,2.6999999999333113e-05,False,neural
True,False,8,0.11675100000000072,False,neural
False,True,8,0.035160999999998666,False,neural
True,False,8,0.054106000000000876,False,neural
True,False,8,0.2326769999999989,False,neural
True,False,8,0.07343399999999889,False,neural
True,False,8,0.1802640000000011,False,neural
True,False,8,0.07712700000000083,False,neural
True,False,8,0.18964599999999976,False,neural
True,False,8,0.17447400000000002,False,neural
True,False,8,0.1837420000000023,False,neural
False,True,8,0.08192400000000077,False,neural
False,True,8,0.03817799999999849,False,neural
True,False,8,0.17833900000000114,False,neural
False,True,8,2.3999999999801958e-05,False,neural
True,False,8,0.08786500000000075,False,neural
True,False,8,0.09750600000000276,False,neural
True,False,8,0.07907499999999956,False,neural
True,False,8,0.2717899999999993,False,neural
True,False,8,0.07718599999999753,False,neural
True,False,8,0.051434000000000424,False,neural
True,False,8,0.05493900000000096,False,neural
True,False,8,0.134643999999998,False,neural
True,False,8,0.13035899999999856,False,neural
True,False,8,0.15804700000000338,False,neural
True,False,8,0.09971200000000024,False,neural
False,True,8,0.03481800000000135,False,neural
True,False,10,0.004028999999999172,False,fol
True,False,10,0.00413199999999847,False,fol
True,False,10,0.004176999999998543,False,fol
True,False,10,0.0038820000000008292,False,fol
True,False,10,0.004263000000001682,False,fol
True,False,10,0.004020000000000579,False,fol
True,False,10,0.004184999999999661,False,fol
True,False,10,0.0035339999999983718,False,fol
True,False,10,0.003986000000001155,False,fol
True,False,10,0.003769999999999385,False,fol
True,False,10,0.003985000000000127,False,fol
True,False,10,0.004049999999999443,False,fol
False,True,10,0.0006990000000008934,True,fol
True,False,10,0.0038599999999995305,False,fol
True,False,10,0.003955999999998738,False,fol
False,True,10,0.00020100000000056184,True,fol
False,True,10,0.003876999999999242,True,fol
False,True,10,0.00019800000000103068,True,fol
True,False,10,0.003899000000000541,False,fol
True,False,10,0.003697000000002504,False,fol
True,False,10,0.0038749999999971863,False,fol
True,False,10,0.003747000000000611,False,fol
True,False,10,0.003917000000001281,False,fol
True,False,10,0.0034989999999979204,False,fol
True,False,10,0.003312999999998567,False,fol
True,False,10,0.003448000000002338,False,fol
True,False,10,0.003825000000002632,False,fol
False,True,10,0.0002059999999985962,True,fol
True,False,10,0.0036039999999992745,False,fol
True,False,10,0.003699000000001007,False,fol
True,False,10,0.0035810000000005004,False,fol
True,False,10,0.005105000000000359,False,fol
True,False,10,0.0038160000000004857,False,fol
True,False,10,0.003842999999999819,False,fol
True,False,10,0.0039639999999998565,False,fol
True,False,10,0.003972000000000975,False,fol
True,False,10,0.00341500000000039,False,fol
True,False,10,0.0038119999999999266,False,fol
True,False,10,0.003446000000000282,False,fol
